Number;Found;Fixed;Problem;Remark
1;0.9.15;0.9.18;Name of domain directory not updated when the domain nam itself is updated;
2;0.9.15;0.9.18;Domains window: ‘enable’ does not update when using “1” instead of “true”;
3;0.9.15;0.9.18;Blacklist window: remove ‘stat’ button & column;
4;0.9.15;0.9.18;Rename the start button to ‘run’ (Also rename the start command to run) Also in the “Services” window.;
5;0.9.15;0.9.18;Rename ‘closure’ to ‘service’ in the register services function.;
6;0.9.17;0.10.10;Replace log with Log.at<level>?.log;
7;0.9.17;0.10.10;Disconnecting the console creates an SSL_ERROR_SYSCALL;
8;0.9.17;;Analyse compile time & decrease it;
9;0.10.10;0.10.11b;Seems like the header logging does not work;
10;0.10.10;0.10.11b;App crashes in Xcode after a couple of days running. Memory consumption at 65GB (day before: 8 MB) Last service executed: Get resource path from request URL.;
11;0.10.10;;Domain access logging does not seem to work;
12;;;;
13;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
